Sensor_ID,Sensor_Type,Floor,Room,timestamp,illuminance
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 11:00:00,5.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-12 12:00:00,5.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 01:00:00,11.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 02:00:00,34.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 03:00:00,78.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 04:00:00,188.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 05:00:00,107.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 06:00:00,31.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 07:00:00,18.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 08:00:00,13.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 09:00:00,12.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 10:00:00,8.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 11:00:00,8.67
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-13 12:00:00,5.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 01:00:00,11.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 02:00:00,60.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 03:00:00,136.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 04:00:00,245.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 05:00:00,49.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 06:00:00,26.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 07:00:00,16.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 08:00:00,20.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 09:00:00,14.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 10:00:00,10.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 11:00:00,8.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-14 12:00:00,5.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 01:00:00,15.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 02:00:00,80.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 03:00:00,160.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 04:00:00,279.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 05:00:00,165.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 06:00:00,25.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 07:00:00,15.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 08:00:00,19.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 09:00:00,8.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 10:00:00,8.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-15 11:00:00,5.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 02:00:00,19.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 03:00:00,125.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 04:00:00,82.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 05:00:00,46.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 06:00:00,32.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 07:00:00,15.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 08:00:00,18.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 09:00:00,5.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 10:00:00,8.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-16 11:00:00,6.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 01:00:00,7.33
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 02:00:00,12.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 03:00:00,59.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 04:00:00,55.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 10:00:00,10.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 11:00:00,8.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-17 12:00:00,5.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 01:00:00,6.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 02:00:00,57.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 03:00:00,44.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 04:00:00,80.6
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 05:00:00,64.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 06:00:00,40.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 07:00:00,17.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 08:00:00,24.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 09:00:00,31.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 10:00:00,12.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-18 11:00:00,7.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 01:00:00,9.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 02:00:00,16.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 03:00:00,19.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 04:00:00,63.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 05:00:00,91.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 06:00:00,48.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 07:00:00,28.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 08:00:00,24.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 09:00:00,39.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 10:00:00,29.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-19 11:00:00,11.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 04:00:00,15.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 05:00:00,49.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 06:00:00,56.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 07:00:00,40.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 08:00:00,59.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 09:00:00,44.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 10:00:00,29.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 11:00:00,16.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-20 12:00:00,7.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 01:00:00,26.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 02:00:00,176.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 03:00:00,247.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 04:00:00,464.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 05:00:00,362.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 06:00:00,74.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 07:00:00,47.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 08:00:00,30.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 09:00:00,15.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 10:00:00,10.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 11:00:00,8.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-21 12:00:00,5.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 01:00:00,12.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 02:00:00,106.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 03:00:00,140.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 04:00:00,263.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 05:00:00,272.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 06:00:00,76.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 07:00:00,52.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 08:00:00,29.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 09:00:00,20.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 10:00:00,16.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 11:00:00,9.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-22 12:00:00,6.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 01:00:00,11.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 02:00:00,67.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 03:00:00,198.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 04:00:00,262.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 05:00:00,160.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 06:00:00,31.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 07:00:00,12.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 08:00:00,13.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 09:00:00,15.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 10:00:00,12.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-23 11:00:00,5.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 02:00:00,12.6
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 03:00:00,151.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 04:00:00,150.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 05:00:00,146.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 06:00:00,67.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 07:00:00,34.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 08:00:00,18.3
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 09:00:00,27.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 10:00:00,19.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 11:00:00,12.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-24 12:00:00,6.0
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 02:00:00,50.2
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 03:00:00,70.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 04:00:00,7.8
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 05:00:00,49.5
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 06:00:00,56.7
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 07:00:00,24.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 08:00:00,10.4
1,MotionSensorMini,1,ExecutiveOffice1,2025-06-25 09:00:00,7.5
